season,dow,hour,n_hours,carbon_gco2_kwh,consumption_gal_mwh,withdrawal_gal_mwh
JJA,Fri,8,13,587.6240,256.2951,2881.2847
JJA,Fri,9,13,562.2736,232.6287,2561.2152
JJA,Fri,10,13,558.0283,228.3397,2506.5919
JJA,Fri,11,13,546.8994,228.4480,2527.2357
JJA,Fri,12,13,539.4479,220.6123,2442.1372
JJA,Fri,13,13,547.3407,220.1834,2455.1740
JJA,Fri,14,13,560.1178,215.8512,2591.9081
JJA,Fri,15,13,559.3331,207.5578,2709.3679
JJA,Fri,16,13,574.7198,208.2265,2827.9452
JJA,Fri,17,13,556.6978,218.4175,2613.6755
JJA,Fri,18,13,545.1180,223.7396,2555.1881
JJA,Fri,19,13,566.2240,212.7373,2711.4148
JJA,Fri,20,13,584.5410,221.4801,2913.8425
JJA,Fri,21,13,551.7905,187.2658,2711.2127
JJA,Fri,22,13,537.1627,183.1482,2556.5423
JJA,Fri,23,13,536.4268,183.2795,2448.7742
JJA,Fri,24,13,531.9632,200.9969,2324.6184
JJA,Sat,1,13,556.2896,217.7952,2537.3403
JJA,Sat,2,13,586.3090,251.5128,2919.4183
JJA,Sat,3,13,610.2790,278.3144,3189.5486
JJA,Sat,4,13,612.2096,275.2318,3184.6129
JJA,Sat,5,13,587.8693,264.2117,2938.5133
JJA,Sat,6,13,572.6036,239.2001,2674.2426
JJA,Sat,7,13,595.0470,254.4918,2932.5937
JJA,Sat,8,13,587.6240,256.2951,2881.2847
JJA,Sat,9,13,562.2736,232.6287,2561.2152
JJA,Sat,10,13,558.0283,228.3397,2506.5919
JJA,Sat,11,13,546.8994,228.4480,2527.2357
JJA,Sat,12,13,539.4479,220.6123,2442.1372
JJA,Sat,13,13,547.3407,220.1834,2455.1740
JJA,Sat,14,13,560.1178,215.8512,2591.9081
JJA,Sat,15,13,559.3331,207.5578,2709.3679
JJA,Sat,16,13,574.7198,208.2265,2827.9452
JJA,Sat,17,13,556.6978,218.4175,2613.6755
JJA,Sat,18,13,545.1180,223.7396,2555.1881
JJA,Sat,19,13,566.2240,212.7373,2711.4148
JJA,Sat,20,13,584.5410,221.4801,2913.8425
JJA,Sat,21,13,551.7905,187.2658,2711.2127
JJA,Sat,22,13,537.1627,183.1482,2556.5423
JJA,Sat,23,13,536.4268,183.2795,2448.7742
JJA,Sat,24,13,531.9632,200.9969,2324.6184
JJA,Sun,1,13,556.2896,217.7952,2537.3403
JJA,Sun,2,13,586.3090,251.5128,2919.4183
JJA,Sun,3,13,610.2790,278.3144,3189.5486
JJA,Sun,4,13,612.2096,275.2318,3184.6129
JJA,Sun,5,13,587.8693,264.2117,2938.5133
JJA,Sun,6,13,572.6036,239.2001,2674.2426
JJA,Sun,7,13,595.0470,254.4918,2932.5937
JJA,Sun,8,13,587.6240,256.2951,2881.2847
JJA,Sun,9,13,562.2736,232.6287,2561.2152
JJA,Sun,10,13,558.0283,228.3397,2506.5919
JJA,Sun,11,13,546.8994,228.4480,2527.2357
JJA,Sun,12,13,539.4479,220.6123,2442.1372
